ran,error_threshold,turn,sampled_rule_rows,sampling_seconds,train_seconds,test_seconds,total_seconds,accuracy,precision,recall
15,0.2,1,2234,24.151862621307373,0.5640602111816406,0.4102330207824707,0.9742932319641113,0.6017546608177973,0.6722567479887314,0.6017045316204959
15,0.2,2,2234,25.0382137298584,0.5811905860900879,0.4224586486816406,1.0036492347717285,0.6014413285289049,0.6719597008970823,0.6013911502353502
15,0.2,3,2234,24.1801438331604,0.5838439464569092,0.3774893283843994,0.9613332748413086,0.6015979946733511,0.6721082968095338,0.601547840927923
15,0.2,4,2234,24.32127094268799,0.6193525791168213,0.4384148120880127,1.057767391204834,0.6015979946733511,0.6721082968095338,0.601547840927923
15,0.2,5,2234,25.47590160369873,0.7199678421020508,0.4778249263763428,1.1977927684783936,0.6014413285289049,0.6719597008970823,0.6013911502353502
15,0.3,1,2234,6.4325621128082275,0.5600783824920654,0.4095757007598877,0.9696540832519531,0.6017546608177973,0.6722567479887314,0.6017045316204959
15,0.3,2,2234,7.056386709213257,0.6021933555603027,0.5655567646026611,1.1677501201629639,0.5992480025066583,0.6698639095532299,0.5991974805393301
15,0.3,3,2234,6.408322334289551,0.6197655200958252,0.413346529006958,1.0331120491027832,0.6011279962400126,0.6716620730936672,0.6010777688502045
15,0.3,4,2234,6.698830842971802,0.5441577434539795,0.4496018886566162,0.9937596321105957,0.6014413285289049,0.6719597008970823,0.6013911502353502
15,0.3,5,2234,6.630132436752319,0.6526086330413818,0.42212724685668945,1.0747358798980713,0.6012846623844588,0.6718109598070648,0.6012344595427773
20,0.2,1,2979,24.300376653671265,0.79093337059021,0.46671319007873535,1.2576465606689453,0.6019113269622435,0.6724050548774916,0.6018612223130688
20,0.2,2,2979,24.516075134277344,0.7404537200927734,0.4588909149169922,1.1993446350097656,0.6014413285289049,0.6719597008970823,0.6013911502353502
20,0.2,3,2979,25.83180522918701,0.7715244293212891,0.4849574565887451,1.2564818859100342,0.6014413285289049,0.6719597008970823,0.6013911502353502
20,0.2,4,2979,24.995103359222412,0.8256721496582031,0.49208831787109375,1.3177604675292969,0.6020679931066897,0.6725532179171416,0.6020179130056417
20,0.2,5,2979,22.8131103515625,0.7254009246826172,0.481783390045166,1.2071843147277832,0.6022246592511358,0.6727012375475265,0.6021746036982145
20,0.3,1,2979,6.765576362609863,0.6694679260253906,0.4091360569000244,1.078603982925415,0.6017546608177973,0.6722567479887314,0.6017045316204959
20,0.3,2,2979,6.405474901199341,0.669757604598999,0.49067234992980957,1.1604299545288086,0.6009713300955664,0.6715130403095664,0.6009210781576316
20,0.3,3,2979,6.210853099822998,0.7820336818695068,0.5250153541564941,1.307049036026001,0.6011279962400126,0.6716620730936672,0.6010777688502045
20,0.3,4,2979,6.1806862354278564,0.627199649810791,0.4406919479370117,1.0678915977478027,0.6014413285289049,0.6719597008970823,0.6013911502353502
20,0.3,5,2979,6.460721492767334,0.635047197341919,0.5662219524383545,1.2012691497802734,0.6014413285289049,0.6719597008970823,0.6013911502353502
