0,1,2
1.6352169634007347,1.6352169634007347,1.6352169634007347
1.4005348803086048,1.4005348803086048,1.4005348803086048
1.6795724432048866,1.6795724432048866,1.6795724432048866
1.2708895765508423,1.2708895765508423,1.2708895765508423
3.197483391728843,3.197483391728843,3.197483391728843
1.515663708426598,1.515663708426598,1.515663708426598
1.324230101442939,1.324230101442939,1.324230101442939
1.2596957548155152,1.2596957548155152,1.2596957548155152
1.7143453423289996,1.7143453423289996,1.7143453423289996
1.7162310710470892,1.7162310710470892,1.7162310710470892
8.734827262895234,8.734827262895234,8.734827262895234
8.485753048635834,8.485753048635834,8.485753048635834
1.162499103256059,1.162499103256059,1.162499103256059
1.0570524526937553,1.0570524526937553,1.0570524526937553
1.955663326729585,1.955663326729585,1.955663326729585
9.3785056260471,9.3785056260471,9.3785056260471
