ran,error_threshold,turn,sampled_rule_rows,sampling_seconds,train_seconds,test_seconds,total_seconds,accuracy,precision,recall
15,0.2,1,2234,10.756186962127686,0.30675482749938965,0.2581462860107422,0.5649011135101318,0.5622062049514259,0.562147481593188,0.5619799921368707
15,0.2,2,2234,10.757074356079102,0.3964662551879883,0.2703869342803955,0.6668531894683838,0.5943277969288624,0.5949707578123767,0.5946086885123374
15,0.2,3,2234,10.81509518623352,0.30370092391967773,0.25785136222839355,0.5615522861480713,0.5927608900031338,0.5933876805164835,0.5930389109006091
15,0.2,4,2234,10.777153730392456,0.32015347480773926,0.2834610939025879,0.6036145687103271,0.5977749921654654,0.5988230610236849,0.5972228892688518
15,0.2,5,2234,10.857499361038208,0.31990575790405273,0.2674262523651123,0.587332010269165,0.594797869006581,0.5955002085638723,0.5950939219660534
15,0.3,1,2234,3.4783947467803955,0.3022451400756836,0.2655630111694336,0.5678081512451172,0.7351927295518647,0.7358601540948306,0.7349330863018217
15,0.3,2,2234,3.526493787765503,0.3240809440612793,0.2800002098083496,0.6040811538696289,0.7411469758696333,0.7419947600576708,0.740863040807441
15,0.3,3,2234,3.4544060230255127,0.30738234519958496,0.2690901756286621,0.5764725208282471,0.7126292698213726,0.7195670828989131,0.7118206326509224
15,0.3,4,2234,3.5231597423553467,0.3102562427520752,0.26117634773254395,0.5714325904846191,0.7091820745847697,0.7156005354915573,0.7083951722389696
15,0.3,5,2234,3.5247931480407715,0.32721710205078125,0.2746257781982422,0.6018428802490234,0.701974302726418,0.7080502384654361,0.70119234544104
20,0.2,1,2979,11.019514083862305,0.40308356285095215,0.29466867446899414,0.6977522373199463,0.7366029457850204,0.7482162366846274,0.7356325276621373
20,0.2,2,2979,10.776823043823242,0.40888166427612305,0.28494906425476074,0.6938307285308838,0.7239109996866187,0.7439639793808108,0.7226302255900956
20,0.2,3,2979,11.235879898071289,0.4187960624694824,0.29198741912841797,0.7107834815979004,0.7060482607333124,0.7340471701029334,0.7045048580801412
20,0.2,4,2979,10.63083028793335,0.43571925163269043,0.2963833808898926,0.732102632522583,0.7027577561892824,0.7334252235592771,0.7011412242968929
20,0.2,5,2979,10.767077922821045,0.4208498001098633,0.2817518711090088,0.7026016712188721,0.7373863992478846,0.7485839853077924,0.7364339166643832
20,0.3,1,2979,4.050598382949829,0.5348653793334961,0.3368961811065674,0.8717615604400635,0.7102789094327797,0.7167597062515447,0.709490716527903
20,0.3,2,2979,3.5949957370758057,0.40820956230163574,0.2907602787017822,0.698969841003418,0.7403635224067691,0.7412350563795502,0.7400754019688467
20,0.3,3,2979,3.627664566040039,0.4046158790588379,0.28949666023254395,0.6941125392913818,0.7375430899404576,0.7386957240184091,0.737213501835696
20,0.3,4,2979,3.534576416015625,0.41755151748657227,0.2866039276123047,0.704155445098877,0.6798809150736447,0.6970053593690128,0.6785513750802052
20,0.3,5,2979,3.5455801486968994,0.39878177642822266,0.3406555652618408,0.7394373416900635,0.7052648072704482,0.710573621306801,0.7045367289951764
