ran,error_threshold,sampled_rule_rows_mean,sampling_seconds_mean,train_seconds_mean,test_seconds_mean,total_seconds_mean,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std
15,0.2,2234.0,10.792601919174194,0.32939624786376953,0.2674543857574463,0.5968506336212158,0.5883735506110936,0.014740172532682621,0.588965837901921,0.015121994229937989,0.5883888805569445,0.01483859386029217
15,0.3,2234.0,3.5014494895935058,0.31423635482788087,0.2700911045074463,0.5843274593353271,0.7200250705108117,0.01713396781884473,0.7242145542016816,0.014220066176200826,0.7194408554880389,0.01740691150741444
20,0.2,2979.0,10.886025047302246,0.4174660682678223,0.2899480819702148,0.7074141502380371,0.7213412723284237,0.016402679270433127,0.7416473190070882,0.00744983306905313,0.72006855045873,0.01671150032914372
20,0.3,2979.0,3.6706830501556396,0.43280482292175293,0.3088825225830078,0.7416873455047608,0.7146662488248199,0.025006774199192176,0.7208538934650636,0.018874067277344645,0.7139735448815655,0.025422833733639433
