0,1,2
2.5209340768339157,2.5209340768339157,2.5209340768339157
1.708314953363888,1.708314953363888,1.708314953363888
1.1682784985907007,1.1682784985907007,1.1682784985907007
1.7325042156800607,1.7325042156800607,1.7325042156800607
1.0549957943561081,1.0549957943561081,1.0549957943561081
2.1502787002891273,2.1502787002891273,2.1502787002891273
2.3327045470162093,2.3327045470162093,2.3327045470162093
3.5006582819285064,3.5006582819285064,3.5006582819285064
4.246462909614461,4.246462909614461,4.246462909614461
3.334212850754837,3.334212850754837,3.334212850754837
4.244161871424956,4.244161871424956,4.244161871424956
4.2466090014400955,4.2466090014400955,4.2466090014400955
4.246211578416291,4.246211578416291,4.246211578416291
4.246586187600094,4.246586187600094,4.246586187600094
2.1215602465762755,2.1215602465762755,2.1215602465762755
4.246546107915551,4.246546107915551,4.246546107915551
