0,1,2,3,4
0.1469511448865713,0.26416420434591426,0.3844186228001118,0.552111399206164,0.7405857545195809
0.17379969551828023,0.2483673514533455,0.3135893052572274,0.40438885715547934,0.5760771250590198
0.054629029351116555,0.10269310561747386,0.22501827234033117,0.1577838781291491,0.32973759201712094
0.7227396541640836,0.5019015322967928,0.6225903529188248,0.8218892416287431,0.9098750978151958
0.1265345869169868,0.17675641804850198,0.2315198076772454,0.29088914344230454,0.37496711131429805
0.05911347142370939,0.13012298466615718,0.25346444431812515,0.5654654100081028,0.40730244882379435
0.01609702427718699,0.06646203456697948,0.17848909250506506,0.565406966922048,0.32013305193498326
0.17400138981126342,0.4141742140836069,0.5931844104114927,0.7495172578692562,0.9983434191201486
2.3296353590456616e-05,0.2492534737243098,0.509584604080328,0.7932244499983715,0.9999888943576486
0.19581600754958012,0.3644102876463889,0.5471558197456715,0.7828202242558179,0.9809631330853077
8.091858404545653e-05,0.2995153893751047,0.5002226799270844,0.7820696231202459,0.9995046635028009
1.0382585119968254e-63,6.970365095590711e-44,6.970365095590711e-44,6.970365095590711e-44,1.0
1.0329681486233346e-05,0.3085234357573685,0.5138537836068335,0.7393799962827631,0.9999167437112051
2.1977188810814684e-06,0.2103064947309127,0.47095635289814636,0.7680012205537353,0.9999968254701073
0.00011014853291380343,0.145889726696025,0.4996994080707755,0.3894460380726859,0.2789352201079673
7.003171031517617e-06,0.257092130847848,0.5164839645482916,0.7504772295270774,0.9999921928778015
2.4308653429145085e-63,1.0,,,
