ran,error_threshold,turn,sampled_rule_rows,sampling_seconds,train_seconds,test_seconds,total_seconds,accuracy,precision,recall
15,0.2,1,2234,26.367738246917725,0.5830130577087402,0.44193339347839355,1.0249464511871338,0.5679147736174213,0.5704265532086141,0.5678999382662234
15,0.2,2,2234,25.214897632598877,0.6615958213806152,0.4136013984680176,1.0751972198486328,0.6019113269622435,0.6023142275016338,0.601906383790878
15,0.2,3,2234,25.704322576522827,0.5724179744720459,0.4424123764038086,1.0148303508758545,0.5862447125176249,0.586612383084739,0.5862497830285522
15,0.2,4,2234,24.875107526779175,0.5210492610931396,0.46756458282470703,0.9886138439178467,0.599874667084443,0.6003058563534168,0.5998695029645564
15,0.2,5,2234,26.85512661933899,0.5682034492492676,0.4329252243041992,1.0011286735534668,0.59219802600658,0.5924787759440414,0.5922023112466217
15,0.3,1,2234,7.456056356430054,0.5387616157531738,0.40772032737731934,0.9464819431304932,0.7364875450415165,0.7375755020317987,0.7364822370090064
15,0.3,2,2234,7.273929834365845,0.6297719478607178,0.4485294818878174,1.0783014297485352,0.7043709854300486,0.7108848282590658,0.7043572088321712
15,0.3,3,2234,7.278524160385132,0.5892696380615234,0.5073943138122559,1.0966639518737793,0.736017546608178,0.7370143462002308,0.7360124594626648
15,0.3,4,2234,7.160762071609497,0.5581848621368408,0.4386167526245117,0.9968016147613525,0.7380542064859784,0.7389737805124446,0.7380493402889863
15,0.3,5,2234,7.4478373527526855,0.5716774463653564,0.4125325679779053,0.9842100143432617,0.7292809023969921,0.7310588550975403,0.7292740233535893
20,0.2,1,2979,25.548749208450317,0.769885778427124,0.5397169589996338,1.3096027374267578,0.6125646247845841,0.618931824793346,0.6125464770512933
20,0.2,2,2979,24.806639671325684,0.9102556705474854,0.4950885772705078,1.4053442478179932,0.645464515118283,0.6469665767948085,0.6454565786135662
20,0.2,3,2979,26.912039279937744,0.769977331161499,0.5639262199401855,1.3339035511016846,0.6485978380072066,0.6534001217529259,0.6485839618632918
20,0.2,4,2979,26.08196258544922,0.7550299167633057,0.49181652069091797,1.2468464374542236,0.7183142722857591,0.735235366183951,0.7182932554670913
20,0.2,5,2979,23.065924406051636,0.6864457130432129,0.4287087917327881,1.115154504776001,0.6171079429735234,0.6173721878734348,0.6171042028449374
20,0.3,1,2979,6.854231595993042,0.7851784229278564,0.3889329433441162,1.1741113662719727,0.7364875450415165,0.7375755020317987,0.7364822370090064
20,0.3,2,2979,6.746079444885254,0.7123777866363525,0.4248311519622803,1.1372089385986328,0.7032743224189253,0.709776998613676,0.7032605212498497
20,0.3,3,2979,6.728515863418579,0.8523209095001221,0.46166205406188965,1.3139829635620117,0.736017546608178,0.7370143462002308,0.7360124594626648
20,0.3,4,2979,6.970060586929321,0.7136485576629639,0.48732757568359375,1.2009761333465576,0.7358608804637318,0.7363828396711136,0.7358571923384142
20,0.3,5,2979,6.2139732837677,0.7731385231018066,0.5299248695373535,1.3030633926391602,0.7308475638414539,0.7311851554263998,0.7308445628329677
