0,1,2
3.187337285253253,3.187337285253253,3.187337285253253
3.3485876661574143,3.3485876661574143,3.3485876661574143
3.966464842336751,3.966464842336751,3.966464842336751
3.3729095958240225,3.3729095958240225,3.3729095958240225
2.2270292839750896,2.2270292839750896,2.2270292839750896
4.530923890406175,4.530923890406175,4.530923890406175
4.88931278789458,4.88931278789458,4.88931278789458
5.0126041339237295,5.0126041339237295,5.0126041339237295
4.435296087444133,4.435296087444133,4.435296087444133
4.453336356392585,4.453336356392585,4.453336356392585
4.618989050946361,4.618989050946361,4.618989050946361
4.644656807099674,4.644656807099674,4.644656807099674
5.17244494175406,5.17244494175406,5.17244494175406
5.445530074725474,5.445530074725474,5.445530074725474
3.819772715001457,3.819772715001457,3.819772715001457
