ran,error_threshold,sampled_rule_rows_mean,sampling_seconds_mean,train_seconds_mean,test_seconds_mean,total_seconds_mean,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std
15,0.2,2234.0,14.485404253005981,0.6188738822937012,0.4537161350250244,1.0725900173187255,0.5993733354222153,0.007718411649795871,0.6231529012924404,0.014013247338793625,0.5993393072150763,0.007715796152300558
15,0.3,2234.0,16.489189529418944,0.6179513454437255,0.48490200042724607,1.1028533458709717,0.598151339495535,0.012101382213882596,0.6105600389605447,0.017532524739437446,0.5981260441137316,0.012097713649778722
20,0.2,2979.0,32.501522397995,0.7617257118225098,0.48264522552490235,1.244370937347412,0.6009399968666771,0.004797413065478011,0.6351867469734729,0.007591593876656712,0.6009006082269289,0.0047972955102495475
20,0.3,2979.0,11.568642568588256,0.5451506614685059,0.38947200775146484,0.9346226692199707,0.6020993263355788,0.012436173940383224,0.6087468891769837,0.014792498325338395,0.6020808249077725,0.012433857352252912
