0,1,2,3,4
-6.708552738934985,0.22755581368304373,6.791303549688187,29.263592935730752,16.224036739170568
-7.362618540423468,-2.8364129689509463,-0.39834650725509263,1.3852729398507813,7.775568546434145
-6.492298092710045,-0.14725064811578978,1.2622804303697492,5.834928791528207,18.247861044833662
-3.9208465003084196,-0.32661249201933956,1.155525553026955,6.240494720648125,13.126006173639109
-4.673071146522577,-1.655685272213852,2.2022111241527016,7.0348552241746445,0.11100342003287807
-7.174040685799923,-2.1237558872538385,-0.047203763685993876,1.534912915066997,4.574960770015993
-9.51926351910256,-3.1488424041319023,1.2224373004969658,6.550044002089705,-0.4560078946666526
-3.5836360963250353,-1.4566446638974633,0.10363235642365967,2.5012302930582426,7.555427020214373
-6.483611898079106,-1.1610571655910333,0.11109086965387896,2.795607045658997,9.782957792654141
-4.984413119722648,-0.8386371139333157,0.34069963179729934,2.291208246589901,6.012223850855303
-6.454176753971627,-1.516894478371091,-0.11281766081835537,1.195506223081247,4.202476887930223
0.11967661524948213,-2.411650933596163,-0.8369612505573396,1.2880390375786424,3.6157481053786595
-2.8059703839782033,-0.9984096255620505,-0.009332004432527371,2.7171329160621287,1.0394931109033232
-3.1186245765675804,-1.1222770911509574,0.02113955760147853,1.2774269904549218,4.00063308743443
-1.8053775819277391,-6.406045693137039,-0.19623158393339943,4.4383156056341395,1.0107004937779354
0.06380524522114052,-3.853012837363186,-1.0625382309743665,1.4714443563752375,5.029181249216861
2.4308653429145085e-63,1.0,,,
