0,1,2
1.615482572067171,1.615482572067171,1.615482572067171
1.3941626347200948,1.3941626347200948,1.3941626347200948
1.7138016048002325,1.7138016048002325,1.7138016048002325
1.2456984354025045,1.2456984354025045,1.2456984354025045
3.1622570998103625,3.1622570998103625,3.1622570998103625
1.5228332472679955,1.5228332472679955,1.5228332472679955
1.3207772115230527,1.3207772115230527,1.3207772115230527
1.25781756206037,1.25781756206037,1.25781756206037
1.7156580196166609,1.7156580196166609,1.7156580196166609
1.7162126892854173,1.7162126892854173,1.7162126892854173
8.734907475314168,8.734907475314168,8.734907475314168
8.485825595232617,8.485825595232617,8.485825595232617
1.1625273692069575,1.1625273692069575,1.1625273692069575
1.0570750974549217,1.0570750974549217,1.0570750974549217
1.9556633141597588,1.9556633141597588,1.9556633141597588
9.378867424408806,9.378867424408806,9.378867424408806
